,sPlayed
1,10823.254000000004
8,4520.727000000001
15,0.0
22,0.0
29,0.0
36,0.0
43,0.0
50,0.0
57,0.0
64,0.0
71,0.0
78,4894.877
85,0.0
92,7846.304000000002
99,2600.264
106,4699.012999999999
113,4250.325000000001
120,3108.33
127,3946.167999999999
134,8225.794000000007
141,9615.339000000002
148,4261.947000000001
155,3770.347999999999
162,2152.619
169,5606.748
176,0.0
183,7481.245000000003
190,9786.106000000009
197,19955.392000000007
204,19478.59500000001
211,9304.818
218,5322.068000000002
225,4614.164999999999
232,3489.094
239,5868.033
246,10896.675000000008
253,4304.698000000001
260,9354.392000000003
267,9501.778000000004
274,7422.953
281,5980.799999999999
288,19821.936000000005
295,20542.740999999984
302,17891.801000000003
309,0.0
316,14031.09200000002
323,18182.122999999985
330,20087.781000000006
337,20245.67500000001
344,3346.0110000000004
351,4587.009000000001
358,8972.360000000002
