,sPlayed
4,12646.517
11,12276.34100000001
18,70.484
25,0.0
32,0.0
39,0.0
46,0.0
53,0.0
60,0.0
67,0.0
74,3.733
81,12663.642999999998
88,9807.422
95,2275.705
102,2610.478
109,1516.734
116,4306.925999999998
123,2577.72
130,11209.875000000016
137,9573.748000000012
144,9172.465
151,4958.734
158,0.0
165,26449.88199999999
172,5703.991999999998
179,14564.567000000005
186,7326.474
193,14948.662999999997
200,16976.667000000005
207,11973.487999999996
214,7812.242000000003
221,16812.941000000003
228,7092.141
235,11128.538999999995
242,5423.897000000002
249,7063.67
256,8489.409000000003
263,3669.825
270,3366.645
277,1859.479
284,6115.1730000000025
291,4632.4130000000005
298,10406.476999999995
305,24604.560999999976
312,4316.701999999998
319,10693.912000000002
326,30904.743999999988
333,24134.851000000013
340,6555.219
347,0.0
354,7532.975999999998
361,10589.637000000012
