,sPlayed
3,6578.224000000007
10,5639.592
17,0.0
24,0.0
31,444.503
38,0.0
45,0.0
52,0.0
59,0.0
66,0.0
73,0.0
80,8078.892000000012
87,0.0
94,11686.756
101,2789.294
108,9942.698999999991
115,18166.586000000003
122,10462.407999999998
129,12508.316000000006
136,8574.385
143,16620.447999999993
150,21745.67199999999
157,0.0
164,0.0
171,0.0
178,3561.772
185,7858.517
192,1297.4689999999998
199,8899.235999999997
206,19499.99399999999
213,8263.998999999998
220,10613.231999999993
227,4811.303999999998
234,5288.198
241,7014.039000000002
248,10798.844
255,10981.746
262,6978.952000000003
269,12921.546000000006
276,1365.999
283,7112.205999999999
290,4019.692000000001
297,7293.62000000001
304,5934.154000000012
311,6372.917000000004
318,15249.777000000013
325,10908.704000000002
332,5784.245
339,9575.824999999995
346,0.0
353,9397.696999999996
360,0.0
