,sPlayed
6,6160.81
13,183.229
20,0.0
27,0.0
34,0.0
41,0.0
48,0.0
55,0.0
62,0.0
69,0.0
76,6500.526000000002
83,3816.487000000001
90,4352.990999999999
97,12212.154999999995
104,13097.044999999993
111,1302.688
118,8154.888999999999
125,6231.877000000007
132,14321.443
139,21700.003
146,11342.577
153,10526.066000000004
160,15242.856999999987
167,15626.128
174,5943.658999999998
181,13193.080999999996
188,12078.255000000005
195,7319.729000000001
202,4283.0560000000005
209,8358.743
216,5142.012000000001
223,2243.830999999999
230,4581.476999999998
237,13650.124000000003
244,4692.665000000004
251,11437.636000000008
258,7376.452000000002
265,4463.447000000002
272,4905.637
279,6777.173999999999
286,12056.905999999995
293,33384.055
300,10944.016000000016
307,18463.144
314,5229.843
321,16493.034999999993
328,22203.89400000001
335,15738.320000000003
342,20011.51500000001
349,5818.511
356,7374.488000000003
363,6519.7080000000005
