,sPlayed
2,8206.771000000002
9,7038.553000000003
16,0.0
23,0.0
30,0.0
37,0.0
44,0.0
51,0.0
58,0.0
65,0.0
72,0.0
79,11762.951000000005
86,8108.959000000006
93,0.0
100,14300.372000000008
107,2034.5470000000005
114,15810.289000000002
121,2999.6710000000003
128,2806.09
135,12914.151
142,9935.230000000009
149,15830.397999999996
156,9113.848
163,2626.901
170,15585.57
177,5311.990000000001
184,9396.997000000005
191,5962.295999999999
198,467.959
205,6315.782000000002
212,5248.597999999999
219,0.0
226,10281.528999999997
233,12373.819
240,6587.578
247,9373.599999999997
254,8896.969
261,9924.36
268,15199.707000000002
275,4959.200000000002
282,9910.01
289,3876.274
296,19325.89699999997
303,10299.14
310,18059.114000000005
317,19671.425999999978
324,17067.227
331,13789.300000000005
338,9548.773
345,7705.372999999997
352,0.0
359,3057.6680000000006
